id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
540180,黄铜铲+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540181,黄铜铲+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540182,黄铜铲+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540183,石铲+石铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540184,石铲+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540185,石铲+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540186,石铲+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540187,石铲+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540188,石铲+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540189,石铲+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540190,石铲+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540191,石铲+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540192,石铲+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540193,石铲+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540194,石铲+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540195,石铲+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540196,秘银铲+黄铜铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540197,秘银铲+石铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540198,秘银铲+秘银铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540199,秘银铲+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540200,秘银铲+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540201,秘银铲+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540202,秘银铲+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540203,秘银铲+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540204,秘银铲+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540205,秘银铲+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540206,秘银铲+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540207,秘银铲+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540208,秘银铲+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540209,秘银铲+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540210,秘银铲+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540211,钛合金铲+黄铜铲,,,"3",,,双持挖掘工具，可以瞬间挖掘直线6格范围的泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540212,钛合金铲+石铲,,,"3",,,双持挖掘工具，可以瞬间挖掘直线6格范围的泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540213,钛合金铲+秘银铲,,,"3",,,双持挖掘工具，可以瞬间挖掘直线6格范围的泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540214,钛合金铲+钛合金铲,,,"3",,,双持挖掘工具，可以瞬间挖掘直线6格范围的泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540215,钛合金铲+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540216,钛合金铲+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540217,钛合金铲+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540218,钛合金铲+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540219,钛合金铲+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540220,钛合金铲+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540221,钛合金铲+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540222,钛合金铲+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540223,钛合金铲+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540224,钛合金铲+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540225,钛合金铲+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540226,钛合金铲+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540227,钨金铲+黄铜铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540228,钨金铲+石铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540229,钨金铲+秘银铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540230,钨金铲+钛合金铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540231,钨金铲+钨金铲,,,"3",,,双持挖掘工具，可以更快的挖掘泥沙类方块。#r对@item_101#或@item_100#使用能挖@item_103#。,使用@item_150029##n获得,1
540232,钨金铲+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540233,钨金铲+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540234,钨金铲+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540235,钨金铲+钛金战锤,,,"3",,100006,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540236,钨金铲+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540237,钨金铲+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540238,钨金铲+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540239,钨金铲+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_103#,使用@item_150029##n获得,1
540240,钨金铲+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540241,钨金铲+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540242,钨金铲+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540243,钨金铲+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_103##r捡回后可重复使用。,使用@item_150029##n获得,1
540244,黄铜耙+黄铜耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获。,使用@item_150029##n获得,1
540245,黄铜耙+石耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获。,使用@item_150029##n获得,1
540246,黄铜耙+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540247,黄铜耙+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540248,黄铜耙+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540249,黄铜耙+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540250,黄铜耙+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540251,黄铜耙+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540252,黄铜耙+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540253,黄铜耙+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540254,黄铜耙+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540255,黄铜耙+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540256,黄铜耙+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540257,黄铜耙+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540258,石耙+石耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获。,使用@item_150029##n获得,1
540259,石耙+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540260,石耙+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540261,石耙+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540262,石耙+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540263,石耙+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540264,石耙+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540265,石耙+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540266,石耙+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540267,石耙+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540268,石耙+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540269,石耙+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540270,石耙+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540271,秘银耙+黄铜耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围3x3。,使用@item_150029##n获得,1
540272,秘银耙+石耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围3x3。,使用@item_150029##n获得,1
540273,秘银耙+秘银耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围3x3。,使用@item_150029##n获得,1
540274,秘银耙+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540275,秘银耙+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540276,秘银耙+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540277,秘银耙+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540278,秘银耙+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540279,秘银耙+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540280,秘银耙+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540281,秘银耙+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540282,秘银耙+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540283,秘银耙+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540284,秘银耙+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540285,秘银耙+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540286,钛合金耙+黄铜耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围5x5。,使用@item_150029##n获得,1
540287,钛合金耙+石耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围5x5。,使用@item_150029##n获得,1
540288,钛合金耙+秘银耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围5x5。,使用@item_150029##n获得,1
540289,钛合金耙+钛合金耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可将其收获，作用范围5x5。,使用@item_150029##n获得,1
540290,钛合金耙+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540291,钛合金耙+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540292,钛合金耙+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540293,钛合金耙+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540294,钛合金耙+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540295,钛合金耙+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540296,钛合金耙+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540297,钛合金耙+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540298,钛合金耙+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540299,钛合金耙+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540300,钛合金耙+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540301,钛合金耙+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540302,钨金耙+黄铜耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可以将其#c0aba1d收割#n，作用范围3*3。#r对空的耕地使用可以将背包中的@item_11400#进行#c0aba1d播种#n，作用范围3*3。,使用@item_150029##n获得,1
540303,钨金耙+石耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可以将其#c0aba1d收割#n，作用范围3*3。#r对空的耕地使用可以将背包中的@item_11400#进行#c0aba1d播种#n，作用范围3*3。,使用@item_150029##n获得,1
540304,钨金耙+秘银耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可以将其#c0aba1d收割#n，作用范围3*3。#r对空的耕地使用可以将背包中的@item_11400#进行#c0aba1d播种#n，作用范围3*3。,使用@item_150029##n获得,1
540305,钨金耙+钛合金耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可以将其#c0aba1d收割#n，作用范围3*3。#r对空的耕地使用可以将背包中的@item_11400#进行#c0aba1d播种#n，作用范围3*3。,使用@item_150029##n获得,1
540306,钨金耙+钨金耙,,,"3",,,双持种植工具，对@item_101#、@item_100#使用可变为@item_102#。#r对成熟的农作物使用可以将其#c0aba1d收割#n，作用范围3*3。#r对空的耕地使用可以将背包中的@item_11400#进行#c0aba1d播种#n，作用范围3*3。,使用@item_150029##n获得,1
540307,钨金耙+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540308,钨金耙+尖尖碰碰锤,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540309,钨金耙+冻结棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540310,钨金耙+钛金战锤,,,"3",,,#c0aba1d蓄力#n后可猛锤地面，击飞并击晕周围的生物，同时造成大量伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540311,钨金耙+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540312,钨金耙+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540313,钨金耙+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540314,钨金耙+能量剑,,,"3",,100006,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，对周围生物造成伤害。若命中了@item_101#，则会将其变成@item_102#,使用@item_150029##n获得,1
540315,钨金耙+石矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540316,钨金耙+黄铜矛,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540317,钨金耙+能量矛,,,"3",,,#c0aba1d蓄力#n后投掷可穿透多个敌人。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540318,钨金耙+魔鬼鱼叉,,,"3",,,#c0aba1d蓄力#n后可投掷。若命中了@item_101#，则会将其变成@item_102##r捡回后可重复使用。,使用@item_150029##n获得,1
540319,木棒+木棒,,,"3",,,#c0aba1d蓄力#n后可敲晕前方的生物。,使用@item_150029##n获得,1
540320,木棒+石剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害并且进入眩晕状态。,使用@item_150029##n获得,1
540321,木棒+短剑,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害并且进入眩晕状态。,使用@item_150029##n获得,1
540322,木棒+收割者,,,"3",,,#c0aba1d蓄力#n后可释放斩击，对周围生物造成伤害并且进入眩晕状态。,使用@item_150029##n获得,1
540323,木棒+能量剑,,,"3",,,#c0aba1d蓄力#n后可向前方瞬间移动一段距离，并对触碰到的敌人造成伤害并且进入眩晕状态,使用@item_150029##n获得,1
540324,木棒+蝎壳盾,,,"3",,,#c0aba1d蓄力#n可以进入防御状态，看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,使用@item_150029##n获得,1
540325,木棒+蝎刺盾,,,"3",,,#c0aba1d蓄力#n可以进入防御状态，并且可以让对手进入中毒状态。看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,使用@item_150029##n获得,1
540326,木棒+木盾,,,"3",,100006,#c0aba1d蓄力#n可以进入防御状态，看准时机使用盾牌可以无伤打怪#r要注意#c0aba1d韧性值#n归零后会非常虚弱，不举盾可以恢复韧性值。,使用@item_150029##n获得,1
